node_id,node_type,planted_community
CAT-001,category,0
CAT-002,category,0
CAT-003,category,0
CAT-004,category,0
CAT-005,category,0
CAT-006,category,1
CAT-007,category,1
CAT-008,category,1
CAT-009,category,1
CAT-010,category,1
CAT-011,category,2
CAT-012,category,2
CAT-013,category,2
CAT-014,category,2
CAT-015,category,2
CAT-016,category,3
CAT-017,category,3
CAT-018,category,3
CAT-019,category,3
CAT-020,category,3
CAT-021,category,4
CAT-022,category,4
CAT-023,category,4
CAT-024,category,4
CAT-025,category,4
CAT-026,category,5
CAT-027,category,5
CAT-028,category,5
CAT-029,category,5
CAT-030,category,5
USR-00001,user,4
USR-00002,user,2
USR-00003,user,4
USR-00004,user,3
USR-00005,user,0
USR-00006,user,5
USR-00007,user,4
USR-00008,user,4
USR-00009,user,0
USR-00010,user,2
USR-00011,user,1
USR-00012,user,5
USR-00013,user,3
USR-00014,user,4
USR-00015,user,2
USR-00016,user,1
USR-00017,user,3
USR-00018,user,0
USR-00019,user,4
USR-00020,user,3
USR-00021,user,4
USR-00022,user,1
USR-00023,user,5
USR-00024,user,5
USR-00025,user,4
USR-00026,user,0
USR-00027,user,2
USR-00028,user,0
USR-00029,user,0
USR-00030,user,3
USR-00031,user,4
USR-00032,user,5
USR-00033,user,1
USR-00034,user,1
USR-00035,user,2
USR-00036,user,0
USR-00037,user,0
USR-00038,user,2
USR-00039,user,1
USR-00040,user,3
USR-00041,user,2
USR-00042,user,4
USR-00043,user,3
USR-00044,user,1
USR-00045,user,4
USR-00046,user,4
USR-00047,user,2
USR-00048,user,1
USR-00049,user,3
USR-00050,user,0
USR-00051,user,0
USR-00052,user,0
USR-00053,user,4
USR-00054,user,3
USR-00055,user,3
USR-00056,user,4
USR-00057,user,2
USR-00058,user,3
USR-00059,user,0
USR-00060,user,0
USR-00061,user,3
USR-00062,user,2
USR-00063,user,3
USR-00064,user,4
USR-00065,user,3
USR-00066,user,3
USR-00067,user,3
USR-00068,user,1
USR-00069,user,0
USR-00070,user,2
USR-00071,user,1
USR-00072,user,2
USR-00073,user,4
USR-00074,user,1
USR-00075,user,0
USR-00076,user,1
USR-00077,user,1
USR-00078,user,3
USR-00079,user,3
USR-00080,user,4
USR-00081,user,3
USR-00082,user,2
USR-00083,user,4
USR-00084,user,0
USR-00085,user,0
USR-00086,user,0
USR-00087,user,4
USR-00088,user,2
USR-00089,user,0
USR-00090,user,2
USR-00091,user,0
USR-00092,user,3
USR-00093,user,2
USR-00094,user,2
USR-00095,user,1
USR-00096,user,3
USR-00097,user,1
USR-00098,user,0
USR-00099,user,0
USR-00100,user,5
USR-00101,user,5
USR-00102,user,3
USR-00103,user,1
USR-00104,user,5
USR-00105,user,4
USR-00106,user,4
USR-00107,user,2
USR-00108,user,1
USR-00109,user,0
USR-00110,user,5
USR-00111,user,2
USR-00112,user,1
USR-00113,user,1
USR-00114,user,3
USR-00115,user,0
USR-00116,user,4
USR-00117,user,4
USR-00118,user,4
USR-00119,user,2
USR-00120,user,3
