user_id,category_id,category_name,category_family,interaction_weight,train_weight,test_weight
USR-00001,CAT-022,Baby care,Family,9,7,2
USR-00001,CAT-023,Books,Family,3,3,0
USR-00001,CAT-025,Board games,Family,8,8,0
USR-00002,CAT-012,Shoes,Style,8,5,3
USR-00002,CAT-013,Bags,Style,6,5,1
USR-00002,CAT-014,Accessories,Style,7,6,1
USR-00002,CAT-015,Jewelry,Style,7,5,2
USR-00002,CAT-027,Camping,Outdoor,2,2,0
USR-00003,CAT-021,Toys,Family,9,8,1
USR-00003,CAT-022,Baby care,Family,7,6,1
USR-00003,CAT-023,Books,Family,13,8,5
USR-00003,CAT-024,Stationery,Family,8,5,3
USR-00003,CAT-025,Board games,Family,12,10,2
USR-00004,CAT-016,Skincare,Wellness,10,9,1
USR-00004,CAT-017,Haircare,Wellness,9,8,1
USR-00004,CAT-018,Supplements,Wellness,3,3,0
USR-00004,CAT-019,Fitness,Wellness,11,10,1
USR-00004,CAT-020,Personal care,Wellness,12,7,5
USR-00004,CAT-028,Garden,Outdoor,3,2,1
USR-00004,CAT-029,Automotive,Outdoor,4,3,1
USR-00005,CAT-001,Smartphones,Digital,5,4,1
USR-00005,CAT-002,Laptops,Digital,9,5,4
USR-00005,CAT-004,Monitors,Digital,7,5,2
USR-00005,CAT-005,Storage,Digital,12,7,5
USR-00005,CAT-029,Automotive,Outdoor,4,1,3
USR-00006,CAT-027,Camping,Outdoor,13,13,0
USR-00006,CAT-028,Garden,Outdoor,7,7,0
USR-00006,CAT-030,Sports,Outdoor,11,8,3
USR-00007,CAT-021,Toys,Family,13,12,1
USR-00007,CAT-022,Baby care,Family,10,9,1
USR-00007,CAT-023,Books,Family,9,8,1
USR-00007,CAT-024,Stationery,Family,10,8,2
USR-00007,CAT-025,Board games,Family,4,4,0
USR-00007,CAT-026,Cycling,Outdoor,2,2,0
USR-00007,CAT-030,Sports,Outdoor,2,2,0
USR-00008,CAT-021,Toys,Family,16,15,1
USR-00008,CAT-022,Baby care,Family,8,7,1
USR-00008,CAT-024,Stationery,Family,8,6,2
USR-00009,CAT-001,Smartphones,Digital,14,12,2
USR-00009,CAT-002,Laptops,Digital,11,9,2
USR-00009,CAT-003,Headphones,Digital,8,7,1
USR-00009,CAT-004,Monitors,Digital,7,7,0
USR-00009,CAT-005,Storage,Digital,7,5,2
USR-00010,CAT-003,Headphones,Digital,1,1,0
USR-00010,CAT-011,Clothing,Style,14,11,3
USR-00010,CAT-012,Shoes,Style,10,10,0
USR-00010,CAT-013,Bags,Style,9,7,2
USR-00010,CAT-014,Accessories,Style,6,4,2
USR-00010,CAT-029,Automotive,Outdoor,5,5,0
USR-00011,CAT-003,Headphones,Digital,6,6,0
USR-00011,CAT-004,Monitors,Digital,5,5,0
USR-00011,CAT-005,Storage,Digital,9,8,1
USR-00011,CAT-007,Cleaning,Home,8,6,2
USR-00011,CAT-008,Coffee,Home,12,11,1
USR-00011,CAT-010,Bedding,Home,10,10,0
USR-00012,CAT-008,Coffee,Home,4,2,2
USR-00012,CAT-016,Skincare,Wellness,5,4,1
USR-00012,CAT-026,Cycling,Outdoor,12,9,3
USR-00012,CAT-027,Camping,Outdoor,13,9,4
USR-00012,CAT-030,Sports,Outdoor,14,10,4
USR-00013,CAT-016,Skincare,Wellness,11,7,4
USR-00013,CAT-017,Haircare,Wellness,5,5,0
USR-00013,CAT-018,Supplements,Wellness,10,9,1
USR-00013,CAT-019,Fitness,Wellness,12,12,0
USR-00013,CAT-020,Personal care,Wellness,7,6,1
USR-00014,CAT-001,Smartphones,Digital,2,2,0
USR-00014,CAT-020,Personal care,Wellness,3,2,1
