node_id,node_type,community,weighted_degree,raw_weighted_degree,snapshot_id,model_version
CAT-001,category,0,1218.9203760514836,1590.0,snap_b65ab0cef6cd9077,1.1.0
CAT-002,category,0,1256.1299889465126,1691.0,snap_b65ab0cef6cd9077,1.1.0
CAT-003,category,0,1172.5086842210994,1484.0,snap_b65ab0cef6cd9077,1.1.0
CAT-004,category,0,1244.056993334457,1666.0,snap_b65ab0cef6cd9077,1.1.0
CAT-005,category,0,1235.5861325604044,1668.0,snap_b65ab0cef6cd9077,1.1.0
CAT-006,category,3,1059.6514153151597,1297.0,snap_b65ab0cef6cd9077,1.1.0
CAT-007,category,3,1068.023995465717,1283.0,snap_b65ab0cef6cd9077,1.1.0
CAT-008,category,3,1067.4421469505955,1312.0,snap_b65ab0cef6cd9077,1.1.0
CAT-009,category,3,1064.1771465084414,1268.0,snap_b65ab0cef6cd9077,1.1.0
CAT-010,category,3,1102.1752751023714,1386.0,snap_b65ab0cef6cd9077,1.1.0
CAT-011,category,1,1101.1114598505442,1365.0,snap_b65ab0cef6cd9077,1.1.0
CAT-012,category,1,1023.4924679236472,1206.0,snap_b65ab0cef6cd9077,1.1.0
CAT-013,category,1,1034.3004863195652,1228.0,snap_b65ab0cef6cd9077,1.1.0
CAT-014,category,1,992.7758089508615,1171.0,snap_b65ab0cef6cd9077,1.1.0
CAT-015,category,1,1056.4602888041259,1281.0,snap_b65ab0cef6cd9077,1.1.0
CAT-016,category,2,1042.4655175498158,1253.0,snap_b65ab0cef6cd9077,1.1.0
CAT-017,category,2,1062.897467909941,1300.0,snap_b65ab0cef6cd9077,1.1.0
CAT-018,category,2,1015.7142650482875,1196.0,snap_b65ab0cef6cd9077,1.1.0
CAT-019,category,2,1084.6903752995556,1358.0,snap_b65ab0cef6cd9077,1.1.0
CAT-020,category,2,1016.8743249678869,1158.0,snap_b65ab0cef6cd9077,1.1.0
CAT-021,category,4,1095.4794993692333,1356.0,snap_b65ab0cef6cd9077,1.1.0
CAT-022,category,4,1022.4875640895572,1187.0,snap_b65ab0cef6cd9077,1.1.0
CAT-023,category,4,1091.9114452388876,1340.0,snap_b65ab0cef6cd9077,1.1.0
CAT-024,category,4,1064.1471380633598,1292.0,snap_b65ab0cef6cd9077,1.1.0
CAT-025,category,4,1096.1647300114907,1375.0,snap_b65ab0cef6cd9077,1.1.0
CAT-026,category,5,947.4239192366518,1057.0,snap_b65ab0cef6cd9077,1.1.0
CAT-027,category,5,938.0048882085027,1030.0,snap_b65ab0cef6cd9077,1.1.0
CAT-028,category,5,1002.7497079799847,1198.0,snap_b65ab0cef6cd9077,1.1.0
CAT-029,category,5,944.7025825570986,1065.0,snap_b65ab0cef6cd9077,1.1.0
CAT-030,category,5,1023.36916202664,1231.0,snap_b65ab0cef6cd9077,1.1.0
USR-00001,user,4,12.432698902097275,12.0,snap_b65ab0cef6cd9077,1.1.0
USR-00002,user,1,17.780364516857258,16.0,snap_b65ab0cef6cd9077,1.1.0
USR-00003,user,4,28.245832374321935,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00004,user,2,38.0095460634811,55.0,snap_b65ab0cef6cd9077,1.1.0
USR-00005,user,0,22.8735582226919,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00006,user,5,16.726034430825223,20.0,snap_b65ab0cef6cd9077,1.1.0
USR-00007,user,4,28.82736091098753,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00008,user,4,16.81774001855967,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00009,user,0,26.801968656828606,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00010,user,1,22.203588469167606,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00011,user,0,27.83647567780096,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00012,user,5,28.769363547444353,37.0,snap_b65ab0cef6cd9077,1.1.0
USR-00013,user,2,26.45587347680493,33.0,snap_b65ab0cef6cd9077,1.1.0
USR-00014,user,4,25.109805936081166,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00015,user,1,26.94267522233735,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00016,user,3,22.003707066796586,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00017,user,2,22.478376710716326,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00018,user,0,31.232104611401933,44.0,snap_b65ab0cef6cd9077,1.1.0
USR-00019,user,4,27.391289244962383,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00020,user,2,25.115766257204314,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00021,user,4,25.96223412564681,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00022,user,3,38.10041121761197,51.0,snap_b65ab0cef6cd9077,1.1.0
USR-00023,user,5,24.036295087830158,27.0,snap_b65ab0cef6cd9077,1.1.0
USR-00024,user,5,23.84831801707248,24.0,snap_b65ab0cef6cd9077,1.1.0
USR-00025,user,3,30.415027804599195,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00026,user,1,29.64875167677314,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00027,user,1,40.231680056560066,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00028,user,3,36.66882993789378,54.0,snap_b65ab0cef6cd9077,1.1.0
USR-00029,user,0,27.39961514023215,41.0,snap_b65ab0cef6cd9077,1.1.0
USR-00030,user,2,26.963114945256663,31.0,snap_b65ab0cef6cd9077,1.1.0
USR-00031,user,4,15.293040082484318,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00032,user,5,33.803101949103564,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00033,user,3,32.57962478837124,43.0,snap_b65ab0cef6cd9077,1.1.0
USR-00034,user,3,35.995832363386775,42.0,snap_b65ab0cef6cd9077,1.1.0
USR-00035,user,1,18.86924678696506,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00036,user,0,25.117421551166274,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00037,user,0,22.68451126803256,30.0,snap_b65ab0cef6cd9077,1.1.0
USR-00038,user,1,22.631714564083378,22.0,snap_b65ab0cef6cd9077,1.1.0
USR-00039,user,5,37.380026855191936,46.0,snap_b65ab0cef6cd9077,1.1.0
USR-00040,user,2,31.96734022912221,38.0,snap_b65ab0cef6cd9077,1.1.0
USR-00041,user,1,46.75997757122149,61.0,snap_b65ab0cef6cd9077,1.1.0
USR-00042,user,4,27.84043618210568,28.0,snap_b65ab0cef6cd9077,1.1.0
USR-00043,user,2,21.630854086133883,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00044,user,3,17.212805488531725,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00045,user,4,19.71810093592328,32.0,snap_b65ab0cef6cd9077,1.1.0
USR-00046,user,4,34.04191422425274,48.0,snap_b65ab0cef6cd9077,1.1.0
USR-00047,user,1,24.949137280053556,23.0,snap_b65ab0cef6cd9077,1.1.0
USR-00048,user,3,26.494748512737665,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00049,user,2,30.34422692322423,35.0,snap_b65ab0cef6cd9077,1.1.0
USR-00050,user,0,16.849940585232645,19.0,snap_b65ab0cef6cd9077,1.1.0
USR-00051,user,0,26.201518330481406,46.0,snap_b65ab0cef6cd9077,1.1.0
USR-00052,user,3,38.355616593748145,52.0,snap_b65ab0cef6cd9077,1.1.0
USR-00053,user,5,33.676799316176336,40.0,snap_b65ab0cef6cd9077,1.1.0
USR-00054,user,2,26.73114087390298,29.0,snap_b65ab0cef6cd9077,1.1.0
USR-00055,user,2,16.07518825549104,19.0,snap_b65ab0cef6cd9077,1.1.0
